name,grade,province,source
老君山黎明黎光丹霞地貌景区-正门,国家级,云南省,convex_hull
九乡风景区,国家级,云南省,baidu_geo
大理洱源西湖景区,国家级,云南省,baidu_geo
建水古城,国家级,云南省,baidu_geo
滇池国家重点风景名胜区石城景区,国家级,云南省,baidu_geo
普者黑风景区,国家级,云南省,baidu_geo
玉龙雪山国家风景名胜区,国家级,云南省,baidu_geo
瑞丽江观景区,国家级,云南省,baidu_geo
腾冲地热火山国家级风景名胜区-票务大厅,国家级,云南省,convex_hull
西双版纳州勐景来旅游景区,国家级,云南省,baidu_geo
石林风景区,国家级,云南省,baidu_geo
泸西县阿庐古洞风景区,国家级,云南省,baidu_geo
浩饶山老渡口景区,国家级,内蒙古自治区,convex_hull
额尔古纳湿地景区,国家级,内蒙古自治区,baidu_geo
石花洞风景名胜区,国家级,北京市,baidu_geo
石花洞风景名胜区,国家级,北京市,baidu_geo
净月潭国家级风景名胜区,国家级,吉林省,baidu_geo
仙景台风景名胜区旅游总公司,国家级,吉林省,osm
松花湖国家风景名胜区,国家级,吉林省,baidu_geo
珲春防川景区,国家级,吉林省,baidu_geo
黄龙国家级风景名胜区,国家级,四川省,baidu_geo
光雾山旅游景区诺水河地质公园-售票处,国家级,四川省,osm
剑门蜀道剑门关旅游景区,国家级,四川省,baidu_geo
四姑娘山景区,国家级,四川省,baidu_geo
成都天台山旅游景区,国家级,四川省,baidu_geo
峨眉山风景区,国家级,四川省,baidu_geo
广元市白龙湖风景名胜区管理局,国家级,四川省,convex_hull
兴文石海洞乡旅游区,国家级,四川省,baidu_geo
米仓山大峡谷旅游景区,国家级,四川省,baidu_geo
蜀南竹海风景名胜区,国家级,四川省,baidu_geo
西岭雪山景区,国家级,四川省,baidu_geo
贡嘎山,国家级,四川省,buffer
螺髻山风景区,国家级,四川省,baidu_geo
青城山,国家级,四川省,baidu_geo
龙门山风景区,国家级,四川省,baidu_geo
盘山风景名胜区,国家级,天津市,baidu_geo
西夏陵风景名胜区,国家级,宁夏回族自治区,baidu_geo
须弥山石窟,国家级,宁夏回族自治区,baidu_geo
九华山风景区,国家级,安徽省,baidu_geo
太极洞旅游区,国家级,安徽省,baidu_geo
天柱山风景区,国家级,安徽省,baidu_geo
巢湖国家重点风景名胜区,国家级,安徽省,convex_hull
琅琊山景区,国家级,安徽省,baidu_geo
烈士陵园(中国花亭湖风景名胜区),国家级,安徽省,osm
花山世界·花山谜窟,国家级,安徽省,baidu_geo
采石矶风景区,国家级,安徽省,baidu_geo
黄山风景区,国家级,安徽省,baidu_geo
齐云山风景名胜区,国家级,安徽省,baidu_geo
齐山·平天湖风景区,国家级,安徽省,baidu_geo
龙川景区,国家级,安徽省,baidu_geo
千佛山风景名胜区,国家级,山东省,baidu_geo
千佛山风景名胜区,国家级,山东省,convex_hull
泰山风景名胜区,国家级,山东省,baidu_geo
獐岛景区,国家级,山东省,convex_hull
崂山风景区,国家级,山东省,baidu_geo
青州雀山风景区,国家级,山东省,baidu_geo
五台山风景名胜区,国家级,山西省,baidu_geo
五老峰景区,国家级,山西省,baidu_geo
北武当山风景区,国家级,山西省,baidu_geo
华山风景名胜区,国家级,山西省,convex_hull
碛口国家级风景名胜区,国家级,山西省,baidu_geo
山西黄河壶口瀑布风景名胜区,国家级,山西省;陕西省,baidu_geo
丹霞山旅游风景区,国家级,广东省,baidu_geo
惠州西湖国家风景名胜区,国家级,广东省,baidu_geo
梧桐山风景名胜区-好汉坡,国家级,广东省,baidu_geo
湖光岩风景区,国家级,广东省,baidu_geo
广州市白云山风景名胜区,国家级,广东省,baidu_geo
罗浮山风景名胜区,国家级,广东省,baidu_geo
肇庆市星湖旅游景区,国家级,广东省,convex_hull
西樵山风景名胜区,国家级,广东省,baidu_geo
桂平西山风景名胜区,国家级,广西壮族自治区,baidu_geo
漓江景区,国家级,广西壮族自治区,baidu_geo
宁明花山岩画景区,国家级,广西壮族自治区,baidu_geo
博斯腾湖国家重点风景名胜区,国家级,新疆维吾尔自治区,baidu_geo
天山天池风景区,国家级,新疆维吾尔自治区,baidu_geo
天山托木尔大峡谷,国家级,新疆维吾尔自治区,baidu_geo
库木塔格沙漠景区,国家级,新疆维吾尔自治区,baidu_geo
罗布人村寨,国家级,新疆维吾尔自治区,baidu_geo
赛里木湖国家级风景名胜区,国家级,新疆维吾尔自治区,baidu_geo
连云港市公安局(云台山风景区分局),国家级,江苏省,baidu_geo
钟山风景名胜区,国家级,江苏省,baidu_geo
无锡太湖鼋头渚风景区,国家级,江苏省,baidu_geo
蜀冈-瘦西湖风景名胜区,国家级,江苏省,baidu_geo
三山风景名胜区,国家级,江苏省,convex_hull
三清山,国家级,江西省,baidu_geo
三百山国家级风景名胜区,国家级,江西省,baidu_geo
灵山风景区,国家级,江西省,baidu_geo
云居山风景区-真如寺,国家级,江西省,baidu_geo
井冈山风景名胜区,国家级,江西省,baidu_geo
仙女湖风景名胜区,国家级,江西省,baidu_geo
南武当旅游景区,国家级,江西省,baidu_geo
庐山风景名胜区,国家级,江西省,baidu_geo
江西省杨岐山国家级风景名胜区,国家级,江西省,baidu_geo
梅岭风景区,国家级,江西省,baidu_geo
萍乡武功山国家级风景名胜区,国家级,江西省,baidu_geo
汉仙岩风景区,国家级,江西省,baidu_geo
大茅山国家级风景名胜区,国家级,江西省,baidu_geo
罗汉岩风景名胜区-售票处,国家级,江西省,convex_hull
